"language","license","rightsHolder","datasetID","datasetName","taxonID","scientificName","kingdom","phylum","order","family","taxonRank","nomenclaturalCode"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:0396fe0cb30083ee34d8692802dbfc3a","Sinelobus vanhaareni","Animalia","Arthropoda","Tanaidacea","Tanaidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:05e1226fad2eec66ff6c70764ecf047a","Pacifastacus leniusculus","Animalia","Arthropoda","Decapoda","Astacidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:06b1921ec41577a8c4516c91837ea594","Caprella mutica","Animalia","Arthropoda","Amphipoda","Caprellidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:0737719f7e273373da08c01c8dc6162f","Orconectes limosus","Animalia","Arthropoda","Decapoda","Cambaridae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:13883300ac884d3398e25f29b89a6513","Callinectes sapidus","Animalia","Arthropoda","Decapoda","Portunidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:151b9f1f8474dc7154761d78ba5f67e9","Crassostrea gigas","Animalia","Mollusca","Ostreoida","Ostreidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:15e890b3c78f52beed30d155c9eb7010","Menetus dilatatus","Animalia","Mollusca","Pulmonata","Planorbidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:168d9fe6e451a8310f9b3b0e37b6b449","Dendrocoelum romanodanubiale","Animalia","Platyhelminthes","Seriata","Dendrocoelidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:24d08291b1402cb932dc57a976620268","Echinogammarus berilloni","Animalia","Arthropoda","Amphipoda","Gammaridae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:2915e4154ca346f95081f7a49c89ff44","Incisocalliope aestuarius","Animalia","Arthropoda","Amphipoda","Pleustidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:2aedcef1f03b604ebf88f203168046d6","Monocorophium sextonae","Animalia","Arthropoda","Amphipoda","Corophiidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:355c3f4b378677a04aebea174fb90093","Rangia cuneata","Animalia","Mollusca","Venerida","Mactridae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:3978a92354724ef73a33fd372023fcb2","Laonome calida","Animalia","Annelida","Sabellida","Sabellidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:39ed57053da56ec1a35d91ba054ed65a","Marenzelleria neglecta","Animalia","Annelida","Spionida","Spionidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:3db73d0aa90d26487c229ea067087531","Megabalanus tintinnabulum","Animalia","Arthropoda","Sessilia","Balanidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:464f0edd615ac93ab279f425dc1060a3","Astacus leptodactylus","Animalia","Arthropoda","Decapoda","Astacidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:48735233e21ae4254b0691f8eef543c2","Petricolaria pholadiformis","Animalia","Mollusca","Venerida","Veneridae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:4e75374d4157cc047fea212a1f0774c7","Physella acuta","Animalia","Mollusca","Pulmonata","Physidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:54cca150e1e0b7c0b3f5b152ae64d62b","Atyaephyra desmaresti","Animalia","Arthropoda","Decapoda","Atyidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:561d4e5573f8471fb2a071995dec3d52","Sinanodonta woodiana","Animalia","Mollusca","Unionoida","Unionidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:563893a5246109760d8b15c5692dab7f","Eriocheir sinensis","Animalia","Arthropoda","Decapoda","Varunidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:5a7d3a2d0f5058bef64c0e463c16f835","Monopylephorus limosus","Animalia","Annelida","Tubficida","Tubificidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:5f77a478af2f3845a6ed9eae16cf63d3","Crangonyx pseudogracilis","Animalia","Arthropoda","Amphipoda","Crangonyctidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:64a2cbc71721e7abf43b95f5c312419b","Chelicorophium curvispinum","Animalia","Arthropoda","Amphipoda","Corophiidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:64adea5e00ac03a99d28288ebc0e52dd","Synurella ambulans","Animalia","Arthropoda","Amphipoda","Crangonyctidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:67189cebf64e76770c12395f500dd57d","Limnodrilus cervix","Animalia","Annelida","Tubficida","Tubificidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:6843328975affdc8b983f211bb60e6a4","Dreissena polymorpha","Animalia","Mollusca","Venerida","Dreissenidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:73f271d93128a4e566e841ea6e3abff0","Ferrissia fragilis","Animalia","Mollusca","Pulmonata","Planorbidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:76f65e67aff98533cbd14c990787b579","Psammoryctides moravicus","Animalia","Annelida","Tubficida","Tubificidae","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Ghent University Aquatic Ecology","https://doi.org/10.15468/yxcq07","Inventory of alien macroinvertebrates in Flanders, Belgium","alien-macroinvertebrates-checklist:taxon:771544745a06d6420acf65d4caf558d3","Hypania invalida","Animalia","Annelida","Terebellida","Ampharetidae","species","ICZN"
